t,x,y,z,
1,1.4,179.99,-0.01,0.01
2,1.71,179.93,-0.07,0.07
3,1.71,179.86,-0.14,0.14
4,2.08,179.78,-0.22,0.22
5,2.5,179.71,-0.29,0.29
6,2.69,179.63,-0.37,0.37
7,3.11,179.55,-0.45,0.45
8,3.36,179.46,-0.54,0.54
9,3.23,179.38,-0.62,0.62
10,3.23,179.28,-0.72,0.72
11,3.17,179.2,-0.8,0.8
12,2.93,179.11,-0.89,0.89
13,3.11,179,-1,1
14,3.17,178.88,-1.12,1.12
15,3.23,178.77,-1.23,1.23
16,3.05,178.66,-1.34,1.34
17,3.54,178.54,-1.46,1.46
18,3.66,178.42,-1.58,1.58
19,4.46,178.3,-1.7,1.7
20,4.39,178.18,-1.82,1.82
21,4.76,178.06,-1.94,1.94
22,5,177.94,-2.06,2.06
23,4.94,177.82,-2.18,2.18
24,5.31,177.7,-2.3,2.3
25,5.31,177.58,-2.42,2.42
26,5.43,177.46,-2.54,2.54
27,5.55,177.34,-2.66,2.66
28,5.19,177.22,-2.78,2.78
29,4.52,177.1,-2.9,2.9
30,4.39,176.99,-3.01,3.01
31,3.78,176.88,-3.12,3.12
32,3.6,176.76,-3.24,3.24
33,3.11,176.63,-3.37,3.37
34,2.62,176.51,-3.49,3.49
35,2.56,176.39,-3.61,3.61
36,2.38,176.27,-3.73,3.73
37,1.77,176.14,-3.86,3.86
38,1.1,176.03,-3.97,3.97
39,0.43,175.92,-4.08,4.08
40,-0.06,175.81,-4.19,4.19
41,-0.49,175.71,-4.29,4.29
42,-0.67,175.6,-4.4,4.4
43,-0.55,175.51,-4.49,4.49
44,0,175.41,-4.59,4.59
45,0.49,175.32,-4.68,4.68
46,1.16,175.23,-4.77,4.77
47,1.89,175.13,-4.87,4.87
48,2.87,175.04,-4.96,4.96
49,3.54,174.95,-5.05,5.05
50,4.15,174.85,-5.15,5.15
51,4.33,174.75,-5.25,5.25
52,4.58,174.65,-5.35,5.35
53,4.76,174.55,-5.45,5.45
54,4.94,174.44,-5.56,5.56
55,4.88,174.32,-5.68,5.68
56,4.76,174.21,-5.79,5.79
57,4.88,174.09,-5.91,5.91
58,4.58,173.97,-6.03,6.03
59,4.64,173.86,-6.14,6.14
60,4.21,173.74,-6.26,6.26
61,4.03,173.63,-6.37,6.37
62,3.91,173.52,-6.48,6.48
63,3.48,173.4,-6.6,6.6
64,2.87,173.29,-6.71,6.71
65,2.5,173.17,-6.83,6.83
66,2.32,173.06,-6.94,6.94
67,2.08,172.95,-7.05,7.05
68,2.44,172.84,-7.16,7.16
69,2.26,172.73,-7.27,7.27
70,2.44,172.63,-7.37,7.37
71,2.69,172.53,-7.47,7.47
72,2.5,172.43,-7.57,7.57
73,2.87,172.33,-7.67,7.67
74,2.81,172.24,-7.76,7.76
75,2.75,172.14,-7.86,7.86
76,2.69,172.04,-7.96,7.96
77,2.75,171.94,-8.06,8.06
78,2.99,171.84,-8.16,8.16
79,2.75,171.74,-8.26,8.26
80,3.11,171.64,-8.36,8.36
81,2.99,171.54,-8.46,8.46
82,2.99,171.45,-8.55,8.55
83,2.93,171.35,-8.65,8.65
84,2.69,171.26,-8.74,8.74
85,2.32,171.17,-8.83,8.83
86,2.08,171.08,-8.92,8.92
87,1.65,170.99,-9.01,9.01
88,1.28,170.9,-9.1,9.1
89,0.73,170.81,-9.19,9.19
90,0.18,170.71,-9.29,9.29
91,-1.04,170.62,-9.38,9.38
92,-1.77,170.53,-9.47,9.47
93,-2.56,170.44,-9.56,9.56
94,-3.78,170.35,-9.65,9.65
95,-4.27,170.27,-9.73,9.73
96,-5,170.18,-9.82,9.82
97,-5.55,170.09,-9.91,9.91
98,-5.86,169.98,-10.02,10.02
99,-6.1,169.88,-10.12,10.12
100,-6.59,169.78,-10.22,10.22
101,-6.47,169.67,-10.33,10.33
102,-6.47,169.57,-10.43,10.43
